"mpg" "disp" "weight" "trans"
"1" 18.9 350 3910 0
"2" 17 350 2860 0
"3" 20 250 3510 0
"4" 18.25 351 3890 0
"5" 20.07 225 3365 1
"6" 11.2 440 4215 0
"7" 22.12 231 3020 0
"8" 21.47 262 3180 0
"9" 34.7 89.7 1905 1
"10" 30.4 96.9 2320 1
"11" 16.5 350 3885 0
"12" 36.5 85.3 2009 1
"13" 21.5 171 2655 0
"14" 19.7 258 3375 0
"15" 20.3 140 2700 0
"16" 17.8 302 3890 0
"17" 14.39 500 5290 0
"18" 14.89 440 5185 0
"19" 17.8 350 3910 0
"20" 16.41 318 3660 0
"21" 23.54 231 3050 1
"22" 21.48 360 4250 1
"23" 16.59 400 3850 0
"24" 31.9 96.9 2275 1
"25" 29.4 140 2150 1
"26" 13.27 460 5430 0
"27" 23.9 133.6 2535 1
"28" 19.73 318 4370 0
"29" 13.9 351 4540 0
"30" 13.27 351 4715 0
"31" 13.77 360 4215 0
"32" 16.5 350 3660 0
